Platform,Domain,Linkedin Company Page,Country,,Continent,Total,Max,Min,Months,,Year 1,Year 1,Year 1,Year 1,Year 1,Year 1,Year 1,Year 1,Year 1,Year 1,Year 1,Year 1,Year 2,Year 2,Year 2,Year 2,Year 2,Year 2,Year 2,Year 2,Year 2,Year 2,Year 2
Shopify,https://www.maenwatches.com/,https://www.linkedin.com/company/maen-watches,Sweden,,EU,"$14.800,00","$1.100,00","$100,00",17,,,,,,,$100,$400,$400,$400,$700,$700,$700,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.10,$1.10,$1.10,$1.10
PrestaShop,https://fashion4iran.com/,no url,,Couldn't find name of country,,"$10.750,00","$800,00","$50,00",17,,,,,,,$50,$400,$300,$300,$300,$300,$300,$800,$800,$800,$800,$800,$800,$800,$800,$800,$800,$800
PrestaShop,https://shoppingdestination.in/,https://www.linkedin.com/company/yagotimber.com,India,,,"$3.400,00","$200,00","$200,00",16,,,,,,,,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200
PrestaShop,https://adoletastore.com.br/,no url,Brasil,,,"$1.900,00","$200,00","$100,00",16,,,,,,,,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$200,$200
PrestaShop,https://genebit.net/,no url,United States,,,"$3.400,00","$200,00","$200,00",16,,,,,,,,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200
BigCommerce,https://skullcandy.eu/,https://www.linkedin.com/company/skullcandy-international-gmbh/,Switzerland,,EU,"$1.700,00","$100,00","$100,00",16,,,,,,,,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100
WooCommerce,https://adventure-journal.com/,https://www.linkedin.com/company/adventure-journal,United States,,,"$850,00","$50,00","$50,00",16,,,,,,,,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50
Shopify,https://www.charm14.com/,https://www.linkedin.com/company/charm14,United States,,,"$42.800,00","$2.700,00","$2.200,00",16,,,,,,,,$2.20,$2.20,$2.20,$2.30,$2.30,$2.30,$2.70,$2.70,$2.70,$2.70,$2.70,$2.70,$2.70,$2.60,$2.60,$2.60,$2.60
WooCommerce,https://octaxcol.com/,https://www.linkedin.com/company/orange-county-tax-collector---scott-randolph,United States,,,"$850,00","$50,00","$50,00",16,,,,,,,,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50
WooCommerce,https://dissentmagazine.org/,no url,United States,,,"$850,00","$50,00","$50,00",16,,,,,,,,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50
Shopify,https://burro-shop.myshopify.com/,no url,Italy,,,"$18.600,00","$1.400,00","$1.000,00",16,,,,,,,,$1.00,$1.00,$1.00,$1.40,$1.40,$1.40,$1.40,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00
Shopify,https://www.aquamixonline.com.au/,no url,Australia,,,"$39.900,00","$2.500,00","$2.100,00",16,,,,,,,,$2.10,$2.10,$2.10,$2.30,$2.30,$2.30,$2.30,$2.30,$2.30,$2.30,$2.50,$2.50,$2.50,$2.50,$2.50,$2.50,$2.50
Shopify,https://theazurinastore.com,no url,,Couldn't find name of country,,"$24.100,00","$1.500,00","$1.400,00",16,,,,,,,,$1.50,$1.50,$1.50,$1.40,$1.40,$1.40,$1.40,$1.40,$1.40,$1.40,$1.40,$1.40,$1.40,$1.40,$1.40,$1.40,$1.40
Magento,https://affordablegolf.co.uk/,https://www.linkedin.com/company/affordable-golf-ltd./about/,United Kingdom,,EU,"$8.500,00","$500,00","$500,00",16,,,,,,,,$500,$500,$500,$500,$500,$500,$500,$500,$500,$500,$500,$500,$500,$500,$500,$500,$500
Magento,https://planetasport.rs/,https://www.linkedin.com/company/planeta-sport,Serbia,,,"$6.800,00","$400,00","$400,00",16,,,,,,,,$400,$400,$400,$400,$400,$400,$400,$400,$400,$400,$400,$400,$400,$400,$400,$400,$400
Shopify,https://www.mpsvinyl.co.uk/,no url,United Kingdom,,EU,"$24.200,00","$1.800,00","$1.400,00",16,,,,,,,,$1.40,$1.40,$1.40,$1.40,$1.40,$1.40,$1.80,$1.40,$1.40,$1.40,$1.40,$1.40,$1.40,$1.40,$1.40,$1.40,$1.40
PrestaShop,https://africshop.com/,no url,,Website is under construction,,"$1.700,00","$100,00","$100,00",16,,,,,,,,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100
Magento,https://tofarmakeiomou.gr/,https://www.linkedin.com/company/tofarmakeiomou.gr,Greece,,EU,"$23.500,00","$1.500,00","$1.100,00",16,,,,,,,,$1.10,$1.10,$1.10,$1.10,$1.10,$1.50,$1.50,$1.50,$1.50,$1.50,$1.50,$1.50,$1.50,$1.50,$1.50,$1.50,$1.50
Shopify,https://turnviewfarmhoney.com/,no url,Canada,,,"$33.900,00","$2.400,00","$1.100,00",16,,,,,,,,$1.10,$1.10,$1.10,$1.10,$1.10,$2.00,$2.40,$2.40,$2.40,$2.40,$2.40,$2.40,$2.40,$2.40,$2.40,$2.40,$2.40
Shopify,https://strikkemani.no/,no url,Norway,,,"$13.600,00","$800,00","$800,00",16,,,,,,,,$800,$800,$800,$800,$800,$800,$800,$800,$800,$800,$800,$800,$800,$800,$800,$800,$800
Magento,https://urjalanmakeistukku.fi/,no url,Finland,,EU,"$17.000,00","$1.000,00","$1.000,00",16,,,,,,,,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00
